题目,第一作者,第二作者,通讯作者,所有作者（以英文逗号隔开）,期刊,JCR分区，选取小分区中最高即可,期刊影响因子,volume，没有填-,number，没有填-,页码,年份,出版商,原文链接,pdf全称（pdf中空格替换为英文下划线_）,文章首页图片名称(大小：636×900像素，保存为pdf全称.jpg格式),摘要（复制粘贴注意从pdf粘贴出来的格式）,
In-situ hot pressing/solid-liquid reaction synthesis of dense titanium silicon carbide bulk ceramics,Yanchun Zhou,Zhimei Sun ,Yanchun Zhou,"Yanchun Zhou,Zhimei Sun,Shengqi Chen,Yi Zhang ",MATERIALS RESEARCH INNOVATIONS,Q3,0.473,2,3,142-146,1998,MANEY PUBLISHING,https://doi.org/10.1007/s100190050076,1998innovation-zhou_innovations_1998.pdf,1998innovation-zhou_innovations_1998.pjg," An in-situ hot pressing/solid-liquid reaction process was developed for the synthesis of dense polycrystalline Ti3SiC2 ceramics using Ti, Si, and graphite powders as starting materials. The present work demonstrated that this process was one of the most effective and simple methods for the preparation of dense bulk Ti3SiC2 materials. Lattice constants of a=3.068 and c=17.645 are calculated for Ti3SiC2 made through this process. The synthesis temperature influenced the phase composition, microstructure and mechanical properties of Ti3SiC2 prepared at different temperatures. And bulk materials with flexural strength of 480 MPa and fracture toughness of 7.88 MPa.m1/2 were obtained at 1600°C. The high fracture toughness and strength are discussed based on microstructure analysis.",
Fluctuation synthesis and characterization of Ti3SiC2 powders,Zhimei Sun ,Yanchun Zhou ,Yanchun Zhou ,"Zhimei Sun ,Yanchun Zhou ",MATERIALS RESEARCH INNOVATIONS,Q3,0.473,2,4,227-231,1999,MANEY PUBLISHING,https://www.tandfonline.com/doi/abs/10.1007/s100190050090,1999innovation-sun_innovations_1999.pdf,1999innovation-sun_innovations_1999.jpg," A novel fluctuation method for the synthesis of Ti3SiC2 powders was developed. The raw materials used in this process are Ti, Si, and graphite powders. Fluctuation synthesis utilized Si as in-situ liquid forming phase (additive), which was formed by heating the powder mixtures to 1300°C and using the heat released from the exothermic reaction for Ti3SiC2 formation. The result demonstrated that the reaction time for the formation of Ti3SiC2 was dramatically shortened using fluctuation method and the powders produced using this method contained more than twice amount of Ti3SiC2 compared to the solid reaction synthesized powders. The powders prepared by fluctuation method are fiber-like in morphology with dimensions of 0.8–2 µm in width and 5–10 µm in length. The growth direction of the fiber-like Ti3SiC2 particulate is {101 – 1}*. The lattice parameters for Ti3SiC2 were determined by a trial-and-error method and are a=3.067 Å and c=17.645 Å.",
Microstructure and mechanism of damage tolerance for Ti3SiC2 bulk ceramics,Yanchun Zhou , Zhimei Sun ,Yanchun Zhou ,"Yanchun Zhou,Zhimei Sun",Materials Research Innovations,Q3,0.473,2,6,360-363,1999,MANEY PUBLISHING,"https://doi.org/10.1007/s100190050114
",1999innova-zhouyc-microstructure_and_mechnism.pdf,1999innova-zhouyc-microstructure and mechnism.jpg," Titanium silicon carbide (Ti3SiC2) is a damage tolerance material that is expected to be used in a number of high temperature applications. In this work, the microstructure and damage tolerance mechanism of Ti3SiC2 was investigated. The result demonstrated that the Ti3SiC2 ceramics prepared by the in-situ hot pressing/solid-liquid reaction process had a dual microstructure, i.e., large laminated grains were distributed within small equiaxial grains. This microstructure is analogous to that of platelets reinforced ceramic matrix composites. The bending test using single-edge-notched-beam specimens revealed that Ti3SiC2 was a damage tolerance material. The damage tolerance mechanisms for Ti3SiC2 are basal plane slip, grain buckling, crack deflection, crack branching, pull-out and delamination of the laminated grains.",
Cu/Ti3SiC2 composite: a new electrofriction material,Yi Zhang ,Zhimei Sun , Yanchun Zhou ,"Yi Zhang,Zhimei Sun,Yanchun Zhou ",Material Research Innovations,Q3,0.473,3,2,80-84,1999,MANEY PUBLISHING,https://doi.org/10.1007/s100190050129,1999inno-zhouyc-Cu-ti3sic2_composite.pdf,1999inno-zhouyc-Cu-ti3sic2 composite.jpg," Cu/Ti3SiC2 composite, a new electrofriction material, was prepared, for the first time, by PM method. The microstructure, mechanical and electrical properties of the Cu/Ti3SiC2 composites were investigated and were compared with those of Cu/graphite composites. The results demonstrated that Cu/Ti3SiC2 composites had superior mechanical properties over Cu/graphite composites. At filer content of less than 20 vol%, the electrical conductivity for Cu/Ti3SiC2 composites was higher than that for Cu/graphite composites; at high filer content, the electrical conductivity for Cu/Ti3SiC2 composites was lower than that for Cu/graphite composites because of the presence of residual pores. It was found that like Cu/graphite composite, Cu/Ti3SiC2 was a self-lubricated material. The compressive yield strength, Brinell hardness, relative ratio of compressive for Cu-30 vol% Ti3SiC2 composites are 307 MPa, 140, 15.7% respectively.",
The compressive property and brittle-to-ductile transition of Ti3SiC2 ceramics,Yanchun Zhou , Zhimei Sun ,Yanchun Zhou ,"Yanchun Zhou,Zhimei Sun ",Material Research Innovations,Q3,0.473,3,3,171-174,1999,MANEY PUBLISHING,https://doi.org/10.1007/s100190050144,1999inno-zhouyc-the_compressive_property.pdf,1999inno-zhouyc-the_compressive_property.jpg," Compressive tests of polycrystalline Ti3SiC2 were performed from room temperature to 1423 K at strain rates of 1×10–4 s–1 and 2.5×10–5 s–1, respectively. The effect of strain rates on high-temperature compressive property was also investigated. Polycrystalline Ti3SiC2 exhibited positive temperature dependence of flow stress (flow stress anomaly) and showed a temperature peak at 1173 K. The brittle-to-ductile transition temperature (BDTT) for polycrystalline Ti3SiC2 was strainrate sensitive, an approximately 100 K decrease in transition temperature was associated with four times of magnitude decrease in strain rate. In addition, the fracture morphology changed from predominately intergranular to mostly transgranular. The mechanism responsible for the brittle-to-ductile transition in Ti3SiC2 was involved in the onset of a thermally activated deformation process.",
Electronic structure of the layered compound Ti3GeC2,Yanchun Zhou, Zhimei Sun ,Yanchun Zhou ,"Yanchun Zhou,Zhimei Sun ",Journal of Applied Physics,Q3,2.328,86,3,1430-1432,1999,the AIP Publishing LLC.,http://dx.doi.org/10.1063/1.370906,1999jap-zhouyc.pdf,1999jap-zhouyc.jpg,"The electronic structure and properties of layered ceramic Ti <sub> 3 </sub> GeC <sub> 2 </sub> have been examined by means of ab initio linear combination of atomic orbital calculations. The calculated band structure shows Ti <sub> 3 </sub> GeC <sub> 2 </sub> to be strongly metallic with high densities of states at the Fermi level. The electrical conductivity is dominated by a Ti (2) 3d state with less contribution from Ti (1) 3d, Ge 4p, and C 2p states. The major factors governing the electronic properties are pd hybridization from Ti 3d, Ge 4p, and C 2p states, and p-d bonding stabilizes the structure. © 1999 American Institute of Physics.",
Ab Initio Calculation of Titanium Silicon Carbide, Zhimei Sun ,Yanchun Zhou,-,"Zhimei Sun,Yanchun Zhou",Phys.rev.b,Q1,3.736,60,3,1441-1443,1999,-,https://aip.scitation.org/doi/10.1063/1.2165285,1999prb-sun_PRB_1999.pdf,1999prb-sun_PRB_1999.jpg,"The electronic structure and properties of the layered ceramic Ti3SiC2 have been examined by ab initio linear combination of atomic orbital calculations. With the calculated results we predict that the electronic conductivity of Ti3SiC2 is metallic and anisotropic. The major factors governing the electronic properties are hybridized Ti 3d, Si 3p, and C 2p states and the p-d bonding stabilizes the structure.",
SYNTHESIS OF Ti3SiC2 POWDERS BY A SOLID-LIQUID REACTION PROCESS,Sun Zhimei,Zhang Yi ,-,"Sun Zhimei,Zhang Yi,Zhou Yanchun ",Scripta Materialia,Q2,4.539,41,1,61-66,1999,Elsevier Ltd,https://doi.org/10.1016/S1359-6462(99)00054-8,1999scripta-sun_scripta_1999.pdf,1999scripta-sun_scripta_1999.jpg,"Ti3SiC2 is a novel ceramic material, which combines the merit of both metals and ceramics. Like metals it is thermal and electrical conductive, easy to machine with conventional tools, and resistant to thermal shock; like ceramics it has high strength, high melting point and thermal stability (1). Ti3SiC2 has hexagonal crystal structure with space group of P63/mmc. The theoretical density of Ti3SiC2 is 4.53g/cm3 and the melting point exceeds 3000 °C. The measured Young’s modulus is 320 GPa and microhardness is 4 GPa (2). Despite the remarkable properties, synthesis of Ti3SiC2 is difficult. Jeitschko et al (3) synthesized pure Ti3SiC2 through chemical reaction between TiH2, Si and graphite, but the method is limited to laboratory scale by its efficiency. Recently, a number of methods including self-propagating high temperature synthesis (SHS) (4), arc-melting (5) and solid-state reaction (6) have been utilized to synthesize Ti3SiC2. In most of these methods carbides (e.g. TiC or SiC) and silicides (e.g. Ti5Si3, TiSi2) were co-existing with Ti3SiC2 in the product. Thus work is needed to develop new methods for the synthesis of Ti3SiC2. In this paper, a solid-liquid process for the formation of Ti3SiC2 powders was reported. The starting materials are Ti, Si and graphite powders, and the liquid phase was formed by the addition of fluorite, i.e., NaF. The Ti3SiC2 powders prepared using this process were characterized by X-ray diffraction and scanning electron microscopy. The effect of synthesis temperature on the composition of the reaction products was investigated by quantitative X-ray analysis.",
Crystallographic relations between Ti3SiC2 and TiC,Yanchun Zhou ,Zhimei Sun ,Yanchun Zhou ,"Yanchun Zhou,Zhimei Sun",Materials Research Innovations,Q3,0.473,3,5,286-291,2000,MANEY PUBLISHING,https://doi.org/10.1007/PL00010876,2000inno-zhou_innovations_2000.pdf,2000inno-zhou_innovations_2000.jpg," Ti3SiC2 is a so-called not-so-brittle ceramic that combines the merits of both metals and ceramics. However, many previous works demonstrated that its bonding nature and properties were strongly related to TiC. In this paper the crystallographic relations between Ti3SiC2 and TiC were established and described based on the transmission electron microscopy investigation on the Ti3SiC2/TiC interface in Ti3SiC2 based material. At Ti3SiC2/TiC interface, the following crystallographic relationships were identified: (111)TiC//(001)Ti3SiC2, (002) TiC//(104)Ti3SiC2, and [11 ¯0]TiC//[110]Ti3SiC2. Based on the above interfacial relations an interfacial structure model was established. The structure of Ti3SiC2 could be considered as two-dimensional closed packed layers of Si periodically intercalated into the (111) twin boundary of TiC0.67 (Ti3C2). The intercalation resulted in the transformation from cubic TiC0.67 to hexagonal Ti3SiC2. In the opposite case, de-intercalation of Si from Ti3SiC2 caused the transformation from hexagonal Ti3SiC2 to cubic TiC0.67. Understanding the crystallographic relations between Ti3SiC2 and TiC is of vital importance in both understanding the properties and optimizing the processing route for preparing pure Ti3SiC2.",
The electronic structure and chemical bonding of Ti3GeC2,Zhimei Sun ,-,Yanchun Zhou,"Zhimei Sun ,Yanchun Zhou ",Journal of Materials Chemistry,Q1,9.73,10,2,343-345,2000,ROYAL SOC CHEMISTRY,https://doi.org/10.1039/a906865a,2000jmc-sun_JMC_2000.pdf,2000jmc-sun_JMC_2000.jpg,"We have investigated the electronic structure and chemical bonding properties of Ti3GeC2 by performing ab initio pseudopotential total-energy calculations. Our results show that the crystal structure of Ti3GeC2 is a characteristic zigzag chain of Ti±C±Ti±C±Ti±Ge, running parallel to the c-axis. The chemical bonding in Ti3GeC2 is anisotropic and metallic±covalent±ionic in nature with signi®cant contributions from metallic and covalent bonds, which result in the combination of metallic and ceramic properties in Ti3GeC2.",
